"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"636","My Quarantine Obsessions keep me going!What are yours? 
Next up:Episode #8 of my podcast-Its gonna be FUN!Spirit https://t.co/xM2xKB8070",FALSE,43,NA,2020-04-20 17:22:13,TRUE,NA,"1252286463539994624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erikaeleniak",4,FALSE,FALSE,NA,NA
"637","We dont stick to traditional gender roles in our household #fianceegoals #fortnite #baking #mmmcookies https://t.co/YPwORFmPot",FALSE,1,NA,2020-04-20 17:22:02,FALSE,NA,"1252286417314643969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoddsyLTD",0,FALSE,FALSE,NA,NA
"638","Quarantine kitchen journal, one month in.
.
.
.
#quarantineactivities #cooking #baking #chamisakellogg https://t.co/TinhxOEIBU",FALSE,2,NA,2020-04-20 17:21:13,TRUE,NA,"1252286209575063556",NA,"<a href=""https://tweet.photo"" rel=""nofollow"">TWEET.PHOTO</a>","ChamisaKellArt",0,FALSE,FALSE,NA,NA
"639","I love this... Easy baking recipes for kids. #lockdown #staysafe #baking #kidsathome #HomeschoolinguK Managed to ge https://t.co/VyooKPU3fy",FALSE,0,NA,2020-04-20 17:21:10,TRUE,NA,"1252286195628998657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ScribblerJB",0,FALSE,FALSE,NA,NA
"640","#baking #oatmealbiscuits #fruitloaf https://t.co/Ebt4ln0lcp",FALSE,0,NA,2020-04-20 17:15:00,FALSE,NA,"1252284647658213386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kathleendawson9",0,FALSE,FALSE,NA,NA
"641","Weve just been flipping some #recipe books and came across a cookery book from the #AylesburyVale #WRNS ... so our https://t.co/2bvDVatuSk",FALSE,0,NA,2020-04-20 17:14:02,TRUE,NA,"1252284401477660672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PtP_Promotions",0,FALSE,FALSE,NA,NA
"642","Emilies (&amp; mummys) first time of making chocolate chip &amp; salted caramel fudge shortbread ...thank you https://t.co/ETB8M2X44p",FALSE,1,NA,2020-04-20 17:12:28,TRUE,NA,"1252284010136571904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cwp_helenw",0,FALSE,FALSE,NA,NA
"643","#bantameggs #baking 
#lockdown",FALSE,0,"combla",2020-04-20 17:12:21,FALSE,"1252283336598355968","1252283979715223553","27245098","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","combla",0,FALSE,FALSE,NA,NA
"644","Fresh seed loaf with homemade marmalade 
#baking #cotswolds 
https://t.co/AWLs3X6M3N https://t.co/TIhwxhFp1R",FALSE,0,NA,2020-04-20 17:11:20,FALSE,NA,"1252283720935059458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","combla",0,FALSE,FALSE,NA,NA
"645","Delicious Homemade Blueberry Cobbler available for a Limited Time @ragincajun_cafe Place your order before we run o https://t.co/ETriyD9Lni",FALSE,0,NA,2020-04-20 17:11:10,TRUE,NA,"1252283681500168195",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ragincajun_cafe",0,FALSE,FALSE,NA,NA
"646","Afternoon tea all sorted! Not quite #SH55 or #grandfloridian in presentation but the taste is amazing! https://t.co/2ANPy06L8m",FALSE,0,NA,2020-04-20 17:09:25,TRUE,NA,"1252283241366724611",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","DisDreamGirls",0,FALSE,FALSE,NA,NA
"647","Bonus Post Monday  7 Reasons You Can't Make a Perfect Cake
If you're new to cake baking and decorating, this list https://t.co/wOoCEepKW2",FALSE,0,NA,2020-04-20 17:09:05,TRUE,NA,"1252283157124206596",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bakesblunders",0,FALSE,FALSE,NA,NA
"648","Baking? Best before? https://t.co/tvi7NlsMR2
#homebaking #baking #StayAtHome #quarantinelife
#MondayMood #mondaythoughts",FALSE,1,NA,2020-04-20 17:04:13,FALSE,NA,"1252281930311229441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DanielLWong",1,FALSE,FALSE,NA,NA
"649","Check out another fun installment of The Egg Burner blog series by Morgan Smith! Today she is cooking up  some pa https://t.co/9frGOIfzZb",FALSE,0,NA,2020-04-20 17:04:09,TRUE,NA,"1252281915438178309",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheBurrMagazine",0,FALSE,FALSE,NA,NA
"650","Pecan Fingers Cookies - recipe in blog #recipe #pecans #pecan #cookies #baking https://t.co/nNO6rubZDr https://t.co/HKLMBjO6HJ",FALSE,0,NA,2020-04-20 17:00:46,FALSE,NA,"1252281064707567617",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SweetJumbles",0,FALSE,FALSE,NA,NA
"651","20/04/2020  - This evening is a good time to bake. The best time is 7:00pm when renewable generation is highest at https://t.co/fMdTEPxzAh",FALSE,0,NA,2020-04-20 17:00:06,TRUE,NA,"1252280896503386115",NA,"<a href=""https://shouldibake.com/"" rel=""nofollow"">TheBakingForecast</a>","baking4cast",0,FALSE,FALSE,NA,NA
"652","LEMONADE CUPCAKES!
Super easy recipe - super fun little cupcake!
RECIPE --&gt;&gt;&gt; https://t.co/9uhhigO2me

#lemonade https://t.co/mQGVEqL40m",FALSE,26,NA,2020-04-20 16:59:53,TRUE,NA,"1252280840597450753",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","thatsjustjeni",55,FALSE,FALSE,NA,NA
"653","Fresh baked Brioche buns. #cooking #baking #breakfast #workfromhom https://t.co/AZcaliPQgU",FALSE,0,NA,2020-04-20 16:57:48,FALSE,NA,"1252280317630709764",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","VladWrites",0,FALSE,FALSE,NA,NA
"654","Vegan lemon cake   #Vegan #veganfood #cake #baking #Isolation #IsolationBaking https://t.co/wVM9NTK3Us",FALSE,3,NA,2020-04-20 16:56:28,FALSE,NA,"1252279981419438080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yokuch4n",1,FALSE,FALSE,NA,NA
"655","So love experimenting and creating delicious #glutenfree #recipes .My #cheese #onions &amp; #Bacon #Quiche turned out f https://t.co/UplvRlWa1t",FALSE,0,NA,2020-04-20 16:55:37,TRUE,NA,"1252279768084631561",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BevCousins12",0,FALSE,FALSE,NA,NA
"656","Aylesbury staff are surviving #lockdown with their pets, #baking and #bike rides! They are also busy making https://t.co/m1KoyWxKjp",FALSE,1,NA,2020-04-20 16:53:56,TRUE,NA,"1252279345583980544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KidsIncUK",0,FALSE,FALSE,NA,NA
"657","French Baguette  to brighten your day 
#baking #cooking https://t.co/nnPK31Dw6j",FALSE,9,NA,2020-04-20 16:50:53,FALSE,NA,"1252278577975959552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maison_d_ami",0,FALSE,FALSE,NA,NA
"658"," at 
@AlexLivingMag Interviews Coach Paul about Staying in Shape During COVID-19.
Watch on YouTube https://t.co/tThJhZCviw",FALSE,1,NA,2020-04-20 16:50:16,TRUE,NA,"1252278419922079744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandandsteelfit",1,FALSE,FALSE,NA,NA
"659","Sheet pan meals are a good way to fine-tune your #cooking routine. #baking  https://t.co/S8Er3Lfm36 https://t.co/eZEYsvlWwu",FALSE,0,NA,2020-04-20 16:48:14,FALSE,NA,"1252277907977895944",NA,"<a href=""https://www.corelistingmachine.com/"" rel=""nofollow"">CORE ListingMachine</a>","ArtsyHomeHunter",0,FALSE,FALSE,NA,NA
"660","Getting my bake on on again, biscuits today! 
#baking #Cooking #cookinginquarantine #lockdowncooking #biscuits",FALSE,0,NA,2020-04-20 16:44:42,FALSE,NA,"1252277019196489734",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sheree_Kirby",0,FALSE,FALSE,NA,NA
"661","Strawberry Cookie Crumble 
Baker in IG @ gd_bakery
#baking #pastry https://t.co/OTrQbFnkEG",FALSE,1,NA,2020-04-20 16:44:36,FALSE,NA,"1252276996639342593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RuizBaruc",1,FALSE,FALSE,NA,NA
"662","I made @chrissyteigens banana bread and wow it lived up to the hype.  #tiktok #baking #bananabread  https://t.co/AA4SdHUKAM",FALSE,0,NA,2020-04-20 16:42:35,FALSE,NA,"1252276485668429833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshuaMac22",0,FALSE,FALSE,NA,NA
"663","Bake of the day  Rhubarb Cake  cant explain how delicious this is  #lockdown #baking #maryberry #bakeoff https://t.co/LZfWslNo47",FALSE,1,NA,2020-04-20 16:40:49,FALSE,NA,"1252276041135120390",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Foggaroo",0,FALSE,FALSE,NA,NA
"664","Quando preparate una torta vi capita mai di sentirvi osservati?
#baking #bakingtime #bakewithlove #dogstagram https://t.co/4paAClkBZx",FALSE,0,NA,2020-04-20 16:40:17,TRUE,NA,"1252275908611842049",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ely_Cav",0,FALSE,FALSE,NA,NA
"665","On #funny - 17 More #Quarantine #Baking Fails That Are Equal Parts Unsightly And #Hilarious #Joke 4 2day 
https://t.co/01E6E8uODg",FALSE,0,NA,2020-04-20 16:37:11,FALSE,NA,"1252275127120617472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMA_Social",1,FALSE,FALSE,NA,NA
"666","Improve your #bakingskills and your family will enjoy the benefits for a long time! https://t.co/ntNkIGEWwz #Baking #Practice",FALSE,0,NA,2020-04-20 16:35:44,FALSE,NA,"1252274762887434243",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PastryAndCakes",0,FALSE,FALSE,NA,NA
"667","Purple Kisses

""Bake it, some brownies 'n  shhhh...""

#Multipurpose #Tea #Baking #Seasoning #Medication #Meditation https://t.co/pFvpboh8AD",FALSE,0,NA,2020-04-20 16:35:24,TRUE,NA,"1252274678565089283",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Iram_Christ",0,FALSE,FALSE,NA,NA
"668","Today's attempt by my daughter ! #baking a batch of #chocolate #cupcakes !

What this photograph does not convey ar https://t.co/hNJH2iGWRt",FALSE,0,NA,2020-04-20 16:33:53,TRUE,NA,"1252274298175344643",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Koushik_S",0,FALSE,FALSE,NA,NA
"669","On #Baking during #Quarantine - #ChrisPratt Kept Interrupting #KatherineSchwarzenegger While She Tried To #Bake On https://t.co/dlKBcnACnC",FALSE,0,NA,2020-04-20 16:33:35,TRUE,NA,"1252274222400847872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CMA_Social",0,FALSE,FALSE,NA,NA
"670","#chocolate #couverture #baking #singleorigin #vegan #dark #milc #milk #white #pastry #homechef #brownies https://t.co/1UhkEXNakN",FALSE,1,NA,2020-04-20 16:32:07,FALSE,NA,"1252273854996717573",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChocMadagascar",0,FALSE,FALSE,NA,NA
"671","Baking up a cake of positivity - With everything going on, we are still open and are ready to help your business th https://t.co/UD53CmSWml",FALSE,0,NA,2020-04-20 16:30:46,TRUE,NA,"1252273514377347074",NA,"<a href=""https://app.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","meck_media",0,FALSE,FALSE,NA,NA
"672","Having no regular gluten-free flour but still cake-craving housemate who wanted an almond based sweet something. Fo https://t.co/9vzJP1xePT",FALSE,0,NA,2020-04-20 16:30:23,TRUE,NA,"1252273417186836483",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","inevitablybaked",0,FALSE,FALSE,NA,NA
"673","Mrs Chapple has been busy today making homemade bread and has kindly given you the recipe.  If you make some send u https://t.co/qKYeYzX6eI",FALSE,12,NA,2020-04-20 16:28:46,TRUE,NA,"1252273009991311360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhilipsHigh",0,FALSE,FALSE,NA,NA
"674","Thanks to @bakemealeader we were able to continue putting our culinary skills to the test before spring break. Chec https://t.co/IGUhuvugPI",FALSE,8,NA,2020-04-20 16:27:23,TRUE,NA,"1252272663067856896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheWelshAcademy",1,FALSE,FALSE,NA,NA
"675","Look how beautiful you guys are ! I am currently editing the tik tok coffee video now. It will be on my website as https://t.co/2n4ZAU8WpF",FALSE,0,NA,2020-04-20 16:26:53,TRUE,NA,"1252272538392109057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshleyJ306",0,FALSE,FALSE,NA,NA
"676","Been a busy little bunny today #CupCakes #LemonDrizzle #Baking https://t.co/DcK8ZcNUYq",FALSE,0,NA,2020-04-20 16:19:24,FALSE,NA,"1252270655388692485",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Amy_Langers",0,FALSE,FALSE,NA,NA
"677","Excited to share the latest addition to my #etsy shop: Caraway Seeds https://t.co/S6aJmm3SPQ #ryebread #herb https://t.co/HNxhAqtwFU",FALSE,0,NA,2020-04-20 16:16:52,TRUE,NA,"1252270015799275521",NA,"<a href=""http://www.etsy.com"" rel=""nofollow"">Etsy</a>","InspiredbytheW1",0,FALSE,FALSE,NA,NA
"678","Biscoff &amp; white chocolate Rocky Road turned out wonderfully  #baking #sweettreats https://t.co/GFS88tNXwE",FALSE,0,NA,2020-04-20 16:16:21,FALSE,NA,"1252269884198789121",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","d0ttyB",0,FALSE,FALSE,NA,NA
"679","Now that some ingredients are hard to find at the grocery store, I thought I'd share a couple of my favorite dairy- https://t.co/9H3JsnMJw2",FALSE,3,NA,2020-04-20 16:15:08,TRUE,NA,"1252269580640088064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RachelleVaughn",0,FALSE,FALSE,NA,NA
"680","@barras_ricardo I challenge you! #getreadyforthenextbattle #baking https://t.co/0mHhrrSPHQ",FALSE,2,"barras_ricardo",2020-04-20 16:14:45,FALSE,NA,"1252269483185537027","1238054131958497280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ritajescorcio",0,FALSE,FALSE,NA,NA
"681","#baking #kitchenappliances #kitchen #quality #SMEG https://t.co/O5apauTUSU",FALSE,1,NA,2020-04-20 16:14:28,FALSE,NA,"1252269414004723715",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JayJackSA",0,FALSE,FALSE,NA,NA
"682","What else can you do while staying safe inside? Why not bake some cookies!! These Ladies sure had fun doing so. https://t.co/jCL8efnF2j",FALSE,3,NA,2020-04-20 16:14:24,TRUE,NA,"1252269397156249602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sunnyhill_Inc",0,FALSE,FALSE,NA,NA
"683","We're nearly through the glut of bananas..but there were just enough left to bake another loaf.
#MondayMotivation https://t.co/0i5LkH3E1T",FALSE,10,NA,2020-04-20 16:14:23,TRUE,NA,"1252269391405813760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","burb58",3,FALSE,FALSE,NA,NA
